iter	Passed	Remaining
1220	16383	20703
1221	16397	20690
1222	16410	20677
1223	16423	20663
1224	16438	20651
1225	16452	20639
1226	16466	20626
1227	16480	20613
1228	16493	20600
1229	16507	20587
1230	16521	20575
1231	16536	20562
1232	16550	20550
1233	16564	20538
1234	16578	20524
1235	16591	20511
1236	16605	20499
1237	16619	20486
1238	16633	20473
1239	16647	20460
1240	16661	20447
1241	16676	20435
1242	16689	20422
1243	16703	20409
1244	16717	20396
1245	16730	20383
1246	16744	20370
1247	16758	20357
1248	16772	20344
1249	16786	20331
1250	16800	20319
1251	16814	20306
1252	16828	20293
1253	16842	20281
1254	16855	20267
1255	16869	20254
1256	16883	20241
1257	16897	20228
1258	16911	20216
1259	16925	20203
1260	16939	20190
1261	16954	20178
1262	16968	20166
1263	16982	20153
1264	16996	20140
1265	17010	20127
1266	17025	20116
1267	17039	20103
1268	17054	20091
1269	17067	20078
1270	17081	20064
1271	17095	20052
1272	17109	20039
1273	17122	20025
1274	17136	20012
1275	17150	19999
1276	17165	19988
1277	17179	19975
1278	17192	19961
1279	17206	19948
1280	17220	19935
1281	17233	19922
1282	17247	19909
1283	17260	19895
1284	17274	19882
1285	17287	19869
1286	17302	19856
1287	17315	19843
1288	17330	19830
1289	17344	19818
1290	17358	19805
1291	17372	19792
1292	17386	19780
1293	17400	19767
1294	17414	19754
1295	17428	19741
1296	17442	19728
1297	17456	19715
1298	17470	19702
1299	17484	19689
1300	17498	19677
1301	17512	19664
1302	17526	19651
1303	17539	19637
1304	17553	19624
1305	17566	19611
1306	17581	19598
1307	17595	19586
1308	17608	19572
1309	17623	19560
1310	17637	19547
1311	17651	19534
1312	17664	19521
1313	17679	19509
1314	17694	19497
1315	17707	19484
1316	17722	19472
1317	17737	19459
1318	17752	19447
1319	17765	19434
1320	17779	19421
1321	17793	19408
1322	17807	19395
1323	17821	19382
1324	17835	19369
1325	17849	19356
1326	17863	19344
1327	17877	19331
1328	17891	19318
1329	17905	19305
1330	17919	19292
1331	17934	19280
1332	17948	19267
1333	17962	19254
1334	17975	19241
1335	17990	19229
1336	18004	19216
1337	18017	19202
1338	18031	19189
1339	18044	19175
1340	18058	19162
1341	18071	19149
1342	18086	19136
1343	18100	19123
1344	18114	19111
1345	18128	19098
1346	18143	19086
1347	18157	19073
1348	18172	19061
1349	18186	19048
1350	18200	19036
1351	18215	19023
1352	18229	19010
1353	18243	18997
1354	18257	18984
1355	18271	18972
1356	18285	18959
1357	18300	18947
1358	18314	18934
1359	18329	18922
1360	18343	18909
1361	18358	18897
1362	18372	18884
1363	18386	18872
1364	18400	18859
1365	18414	18846
1366	18429	18833
1367	18442	18820
1368	18456	18807
1369	18470	18794
1370	18484	18781
1371	18498	18768
1372	18512	18755
1373	18527	18742
1374	18540	18729
1375	18554	18716
1376	18568	18703
1377	18582	18690
1378	18596	18677
1379	18610	18664
1380	18625	18652
1381	18639	18639
1382	18654	18627
1383	18669	18615
1384	18683	18602
1385	18697	18589
1386	18711	18576
1387	18725	18563
1388	18739	18550
1389	18754	18538
1390	18768	18525
1391	18782	18512
1392	18796	18499
1393	18810	18486
1394	18824	18474
1395	18838	18460
1396	18852	18447
1397	18866	18435
1398	18881	18422
1399	18895	18409
1400	18909	18396
1401	18924	18384
1402	18938	18371
1403	18952	18358
1404	18967	18346
1405	18981	18333
1406	18994	18319
1407	19008	18306
1408	19022	18293
1409	19035	18279
1410	19049	18266
1411	19064	18254
1412	19078	18241
1413	19092	18228
1414	19107	18216
1415	19121	18203
1416	19135	18190
1417	19149	18177
1418	19164	18164
1419	19178	18151
1420	19192	18138
1421	19206	18125
1422	19219	18112
1423	19234	18099
1424	19248	18087
1425	19265	18076
1426	19280	18064
1427	19295	18052
1428	19310	18040
1429	19324	18027
1430	19338	18013
1431	19352	18000
1432	19366	17987
1433	19380	17975
1434	19395	17962
1435	19408	17948
1436	19423	17936
1437	19437	17923
1438	19451	17910
1439	19465	17897
1440	19479	17884
1441	19493	17871
1442	19507	17857
1443	19521	17844
1444	19533	17830
1445	19547	17817
1446	19561	17804
1447	19575	17791
1448	19589	17778
1449	19604	17765
1450	19618	17752
1451	19632	17739
1452	19646	17726
1453	19660	17713
1454	19673	17699
1455	19687	17686
1456	19701	17673
1457	19715	17660
1458	19730	17647
1459	19744	17634
1460	19757	17621
1461	19772	17608
1462	19786	17595
1463	19801	17582
1464	19815	17569
1465	19829	17556
1466	19842	17543
1467	19857	17530
1468	19871	17517
1469	19885	17504
1470	19899	17491
1471	19913	17478
1472	19928	17466
1473	19942	17453
1474	19956	17440
1475	19972	17428
1476	19986	17415
1477	20000	17402
1478	20015	17390
1479	20029	17376
1480	20042	17363
1481	20057	17350
1482	20071	17337
1483	20085	17324
1484	20099	17311
1485	20114	17298
1486	20128	17285
1487	20142	17272
1488	20155	17258
1489	20169	17245
1490	20183	17232
1491	20197	17219
1492	20211	17206
1493	20225	17192
1494	20238	17179
1495	20252	17165
1496	20266	17152
1497	20280	17139
1498	20294	17126
1499	20308	17112
1500	20321	17099
1501	20335	17085
1502	20348	17072
1503	20362	17058
1504	20376	17045
1505	20389	17032
1506	20403	17018
1507	20417	17005
1508	20431	16992
1509	20445	16979
1510	20458	16965
1511	20472	16952
1512	20486	16938
1513	20500	16925
1514	20513	16911
1515	20527	16898
1516	20541	16885
1517	20555	16872
1518	20569	16859
1519	20583	16845
1520	20596	16832
1521	20610	16818
1522	20623	16805
1523	20637	16791
1524	20651	16778
1525	20665	16765
1526	20679	16751
1527	20693	16738
1528	20707	16725
1529	20722	16713
1530	20737	16701
1531	20752	16688
1532	20766	16675
1533	20780	16662
1534	20794	16648
1535	20808	16635
1536	20822	16622
1537	20836	16609
1538	20850	16596
1539	20864	16583
1540	20878	16570
1541	20892	16556
1542	20906	16543
1543	20920	16530
1544	20934	16516
1545	20948	16504
1546	20962	16490
1547	20976	16477
1548	20990	16464
1549	21005	16451
1550	21019	16438
1551	21033	16426
1552	21047	16412
1553	21061	16399
1554	21075	16385
1555	21088	16372
1556	21102	16359
1557	21117	16346
1558	21131	16333
1559	21145	16319
1560	21159	16306
1561	21173	16293
1562	21187	16280
1563	21201	16267
1564	21216	16254
1565	21230	16241
1566	21244	16227
1567	21258	16214
1568	21272	16201
1569	21286	16188
1570	21299	16174
1571	21314	16161
1572	21327	16148
1573	21341	16134
1574	21355	16121
1575	21369	16108
1576	21383	16095
1577	21397	16081
1578	21411	16068
1579	21425	16055
1580	21439	16042
1581	21454	16029
1582	21468	16016
1583	21482	16003
1584	21495	15989
1585	21508	15975
1586	21522	15962
1587	21537	15949
1588	21551	15936
1589	21565	15922
1590	21579	15909
1591	21592	15896
1592	21606	15882
1593	21621	15870
1594	21635	15856
1595	21649	15843
1596	21663	15830
1597	21677	15817
1598	21691	15803
1599	21706	15791
1600	21720	15777
1601	21733	15764
1602	21747	15751
1603	21761	15737
1604	21775	15724
1605	21789	15711
1606	21802	15697
1607	21816	15684
1608	21830	15670
1609	21844	15657
1610	21859	15644
1611	21872	15631
1612	21886	15617
1613	21900	15604
1614	21915	15591
1615	21929	15578
1616	21943	15565
1617	21957	15552
1618	21971	15538
1619	21985	15525
1620	22000	15513
1621	22014	15499
1622	22029	15487
1623	22043	15474
1624	22057	15460
1625	22071	15447
1626	22086	15434
1627	22100	15421
1628	22114	15408
1629	22128	15394
1630	22142	15381
1631	22155	15367
1632	22169	15354
1633	22183	15340
1634	22197	15327
1635	22211	15314
1636	22225	15301
1637	22239	15287
1638	22253	15274
1639	22267	15261
1640	22280	15247
1641	22295	15234
1642	22308	15220
1643	22322	15207
1644	22336	15194
1645	22350	15180
1646	22364	15167
1647	22378	15154
1648	22391	15140
1649	22405	15127
1650	22420	15114
1651	22434	15101
1652	22448	15088
1653	22463	15075
1654	22477	15061
1655	22491	15048
1656	22505	15035
1657	22519	15021
1658	22533	15008
1659	22547	14995
1660	22561	14982
1661	22575	14969
1662	22590	14955
1663	22604	14942
1664	22617	14929
1665	22631	14915
1666	22645	14902
1667	22660	14889
1668	22674	14876
1669	22689	14863
